Rami f icationType,N.Orbit,L.O,Rami f icationType,N.Orbit,L.O
"(3A,3A,8A)",2,1,"(3A,3A,8B)",2,1
"(3A,4A,6A)",5,1,"(3A,4A,8A)",3,1
"(3A,4A,8B)",3,1,"(3A,4A,5A)",5,1
"(4A,4A,8B)",4,1,"(4A,4A,8A)",4,1
"(4A,4A,6A)",12,1,"(4A,4A,5A)",6,1
"(2A,6A,8A)",3,1,"(2A,6A,8B)",3,1
"(2A,8A,8A)",2,1,"(2A,8B,8B)",2,1
"(2A,4A,11A)",1,1,"(2A,4A,11B)",1,1
"(2A,2A,3A,4A)",1,92,"(2A,2A,4A,4A)",1,168
"(2A,2A,2A,8A)",1,48,"(2A,2A,2A,8B)",1,48
"(2A,5A,8A)",3,1,"(2A,5B,8B)",3,1
Rami f icationType,N.Orbit,L.O,Rami f icationType,N.Orbit,L.O
"(3A,5A,6A)",7,1,"(3A,6A,6A)",12,1
"(3A,3A,8A)",2,1,"(3A,3A,8B)",2,1
"(3A,4A,5A)",5,1,"(3A,4A,6A)",5,1
"(2A,5A,11A)",1,1,"(2A,5A,11B)",1,1
"(2A,5A,8A)",3,1,"(2A,5A,8B)",3,1
"(2A,6A,11A)",3,1,"(2A,6A,11B)",3,1
"(2A,6A,8A)",3,1,"(2A,6A,8B)",3,1
"(2A,4A,11A)",1,1,"(2A,4A,11B)",1,1
"(2A,3A,3A,3A)",1,63,"(2A,2A,3A,5A)",1,100
"(2A,2A,3A,6A)",1,156,"(2A,2A,3A,4A)",1,92
"(2A,2A,2A,11A)",1,33,"(2A,2A,2A,11B)",1,33
"(2A,2A,2A,8A)",1,48,"(2A,2A,2A,8B)",1,48
"(2A,2A,2A,2A,3A)",1,2376,,,
Rami f icationType,N.Orbit,L.O,Rami f icationType,N.Orbit,L.O
"(4A,8A,8A)",4,1,"(4A,4B,11B)",1,1
"(4A,4B,11A)",1,1,"(4B,4B,8B)",4,1
"(4B,4B,6A)",2,1,"(4B,4B,10A)",2,1
"(4B,6B,8A)",16,1,"(4B,6B,6B)",38,1
"(3B,4B,8A)",5,1,"(3B,4B,6B)",10,1
"(4A,4B,8A)",6,1,"(4A,4B,6B)",8,1
"(3B,4A,4B)",4,1,"(4B,5A,8A)",7,1
"(4B,5A,6B)",14,1,"(3B,4B,5A)",7,1
"(4A,4B,5A)",4,1,"(4B,5A,5A)",3,1
"(3A,8A,8A)",6,1,"(3A,4B,11B)",1,1
"(3A,4B,11A)",1,1,"(3A,4B,8B)",2,1
"(3A,4B,6A)",3,1,"(3A,4B,10A)",3,1
"(3A,6B,8A)",16,1,"(3A,6B,6B)",8,1
"(3A,3A,11A)",1,1,"(3A,3A,11B)",1,1
"(3A,3A,6A)",2,1,"(3A,3B,8A)",6,1
"(3A,3B,6B)",6,1,"(3A,5A,8A)",4,1
"(3A,3B,5A)",2,1,"(3A,4A,8A)",2,1
"(3A,5A,6B)",6,1,"(3A,5A,5A)",6,1
"(2B,8A,11B)",2,1,"(2B,8A,11A)",2,1
"(2B,8A,8B)",4,1,"(2B,6A,8A)",4,1
"(2B,8A,10A)",2,1,"(2B,6B,11A)",1,1
"(2B,6B,11B)",1,1,"(2B,6A,6B)",8,1
"(2B,6B,10A)",8,1,"(2B,3B,11A)",1,1
"(2B,3B,11A)",1,1,"(2B,3B,10A)",2,1
"(2B,5A,11B)",1,1,"(2B,5A,11A)",1,1
"(2B,5A,6A)",2,1,"(2B,5A,10A)",2,1
"(2A,8A,8A)",4,1,"(2A,4B,11A)",1,1
"(2B,4B,11B)",1,1,"(2A,6B,8A)",6,1
"(2A,6B,6B)",8,1,"(2A,3A,11A)",1,1
"(2A,3A,11B)",1,1,"(2A,5A,8A)",3,1
"(2B,5A,6B)",6,1,"(2B,4B,4B,4B)",1,244
"(2B,3A,4B,4B)",1,240,"(2B,3A,3A,4B)",1,132
"(2B,3A,3A,3A)",1,96,"(2A,2B,3A,3A)",1,48
"(2B,2B,4B,8A)",1,288,"(2B,2B,4B,6B)",1,504
"(2B,2B,3B,4B)",1,144,"(2B,2B,4A,4B)",1,88
"(2B,2B,4B,5A)",1,220,"(2B,2B,3A,8A)",2,"104, 104"
"(2B,2B,3A,6B)",1,144,"(2B,2B,3A,3B)",1,56
"(2B,2B,3A,5A)",1,120,"(2B,2B,2B,11A)",1,22
"(2B,2B,2B,11B)",1,22,"(2B,2B,2B,6A)",1,72
"(2B,2B,2B,2B,4B)",1,7296,"(2B,2B,2B,2B,3A)",1,2784
"(2A,2B,2B,2B,2B)",1,2048,"(2B,2B,2B,10A)",2,"40,40"
"(2A,2B,2B,8A)",1,64,"(2A,2B,2B,6B)",1,144
"(2A,2B,2B,3B)",1,32,"(2A,2B,2B,5A)",1,80
"(2A,2B,4B,4B)",1,80,"(2A,2B,3A,4B)",1,66
Rami f icationType,N.Orbit,LO,Rami f icationType,N.Orbit,L.O
"(2B,3B,10A)",2,1,"(2A,2B,2B,3B)",1,32
Rami f icationType,N.Orbit,L.O,Rami f icationType,N.Orbit,L.O
"(3A,3A,7A)",12,1,"(3A,3A,7B)",12,1
"(3A,3A,8A)",16,1,"(3A,4B,5A)",8,1
"(3A,4B,6A)",12,1,"(3A,4A,5A)",48,1
"(3A,4A,6A)",24,1,"(4A,4A,4B)",26,1
"(4A,4A,4A)",12,1,"(2A,5A,7A)",10,1
"(2A,5A,7B)",10,1,"(2A,5A,8A)",12,1
"(2A,6A,7A)",6,1,"(2A,6A,7B)",6,1
"(2A,6A,8A)",12,1,"(2A,4B,11A)",2,1
"(2A,4B,11B)",2,1,"(2A,3A,11A)",4,1
"(2A,3A,11B)",4,1,"(2A,2A,3A,4B)",1,180
"(2A,2A,3A,4A)",1,180,"(2A,2A,2A,7A)",3,42
"(2A,2A,2A,7B)",3,42,"(2A,2A,2A,8A)",4,48
Rami f icationType,N.Orbit,L.O,Rami f icationType,N.Orbit,L.O
"(4D,4D,5A)",6,1,"(4D,4D,6A)",2,1
"(4A,4C,4D)",3,1,"(4A,4D,6B)",20,1
"(2C,4D,7A)",2,1,"(2C,4D,7B)",2,1
"(2C,4A,8B)",3,1,"(2C,5A,6B)",11,1
"(2C,6A,6B)",7,1,"(2C,3A,14A)",2,1
"(2C,3A,14B)",2,1,"(2A,8B,8B)",3,1
"(2C,4C,14B)",1,1,"(2A,4C,14A)",1,1
"(2A,6B,10A)",10,1,"(2A,6B,14B)",3,1
"(2A,6B,14A)",3,1,"(2A,6B,12A)",6,1
"(3A,4D,8B)",4,1,"(3A,6B,4C)",10,1
"(3A,6B,6B)",10,1,"(3A,7B,8B)",1,1
"(2B,7A,8B)",1,1,"(2B,5A,10A)",4,1
"(2B,5A,14B)",1,1,"(2B,5A,14A)",1,1
"(2B,5A,12A)",1,1,"(2B,4C,11A)",1,1
"(2B,6A,10A)",2,1,"(2B,6A,14A)",1,1
"(2B,6A,14B)",1,1,"(2B,6A,12A)",2,1
"(2B,6B,11A)",3,1,"(2A,2A,4D,4D)",1,128
"(2A,2A,2C,6B)",1,156,"(2A,2B,4A,4D)",1,94
"(2A,2A,2B,2B,3A)",1,600,"(2A,2B,2C,5A)",1,45
"(2A,2B,2C,6A)",1,30,"(2A,2A,2B,10A)",2,20
"(2A,2A,2B,14B)",1,14,"(2A,2A,2B,14A)",1,14
"(2A,2A,2B,12A)",1,24,"(2A,2A,2A,2B,2C)",1,660
"(2A,2B,3A,4C)",1,34,"(2A,2B,3A,6B)",1,123
"(2B,2B,4A,4A)",1,34,"(2A,2B,2B,11A)",1,11
"(2B,2A,3A,5A)",1,88,"(2B,2B,3A,6A)",1,36
"(2B,2C,3A,3A)",1,72,,,
Rami f icationType,N.Orbit,L.O,Rami f icationType,N.Orbit,L.O
"(2B,4C,11A)",1,1,,,
Rami f icationType,N.Orbit,L.O,Rami f icationType,N.Orbit,L.O
"(4A,4A,5A)",104,1,"(4A,4A,6A)",192,1
"(3A,5A,5A)",30,1,"(3A,4A,8A)",54,1
"(3A,4A,7B)",15,1,"(3A,4A,7A)",15,1
"(3A,5A,6A)",70,1,"(3A,6A,6A)",120,1
"(3A,3A,15B)",4,1,"(3A,3A,15A)",4,1
"(3A,3A,11B)",6,1,"(3A,3A,11A)",6,1
"(3A,3A,14B)",4,1,"(3A,3A,14A)",4,1
"(2A,8A,8A)",28,1,"(2A,5A,15B)",5,1
"(2A,5A,15A)",5,1,"(2A,5A,11B)",6,1
"(2A,5A,11A)",6,1,"(2A,5A,14B)",3,1
"(2A,5A,14A)",3,1,"(2A,4A,23B)",2,1
"(2A,4A,23A)",2,1,"(2A,7B,8A)",8,1
"(2A,7B,7B)",4,1,"(2A,7A,8A)",8,1
"(2A,7A,7A)",4,1,"(2A,6A,15B)",9,1
"(2A,6A,15A)",6,1,"(2A,4A,11B)",12,1
"(2A,4A,11A)",12,1,"(2A,4A,14B)",9,1
"(2A,4A,14A)",9,1,"(2A,3A,3A,3A)",1,996
"(2A,2A,4A,4A)",1,2456,"(2A,2A,3A,5A)",1,980
"(2A,2A,3A,6A)",1,1428,"(2A,2A,2A,15B)",1,90
"(2A,2A,2A,15A)",1,90,"(2A,2A,2A,11B)",2,"66,66"
"(2A,2A,2A,11A)",2,"66,66","(2A,2A,2A,14B)",1,84
"(2A,2A,2A,14A)",1,84,"(2A,2A,2A,2A,3A)",1,21456
Rami f icationType,N.Orbit,L.O,Rami f icationType,N.Orbit,L.O
"(4B,4B,8A)",112,1,"(4B,4B,7B)",22,1
"(4B,4B,7A)",22,1,"(4B,4B,4C)",40,1
"(4B,6A,6A)",478,1,"(4A,4B,6A)",44,1
"(4B,5A,6A)",158,1,"(4A,4B,5A)",11,1
"(4B,5A,5A)",38,1,"(3B,4B,6A)",62,1
"(3B,4A,4B)",4,1,"(3B,4B,5A)",30,1
"(2A,8A,12A)",26,1,"(2A,8A,14A)",9,1
"(2A,8A,14B)",9,1,"(2A,8A,11A)",13,1
"(2A,8A,10A)",10,1,"(2A,8A,15B)",9,1
"(2A,8A,15A)",9,1,"(2A,6B,8A)",2,1
"(2A,6A,21B)",7,1,"(2A,6A,21A)",7,1
"(2A,6A,23B)",5,1,"(2A,6A,23A)",55,1
"(2A,4A,21B)",1,1,"(2A,4A,21A)",1,1
"(2A,7B,12A)",4,1,"(2A,7B,14A)",3,1
"(2A,7B,11A)",2,1,"(2A,7B,10A)",1,1
"(2A,7B,15B)",2,1,"(2A,7B,15A)",2,1
"(2A,7B,6B)",4,1,"(2A,7A,12A)",4,1
"(2A,7A,14B)",3,1,"(2A,7A,11A)",2,1
"(2A,7A,11B)",1,1,"(2A,7A,15B)",2,1
"(2A,7A,15A)",2,1,"(2A,7A,6B)",4,1
"(2A,5A,21B)",2,1,"(2A,5A,21A)",2,1
"(2A,5A,12B)",3,1,"(2A,5A,14B)",4,1
"(2A,5A,14A)",4,1,"(2A,4C,11A)",5,1
"(2A,4C,15B)",4,1,"(2A,4C,15A)",4,1
"(2A,3B,23B)",1,1,"(2A,3B,23A)",1,1
"(3A,4B,12A)",26,1,"(3A,4B,14B)",12,1
"(3A,4B,14A)",12,1,"(3A,4B,11A)",15,1
"(3A,4B,10A)",18,1,"(3A,4B,15B)",12,1
"(3A,4B,15A)",12,1,"(3A,4B,6B)",21,1
"(3A,6A,8A)",96,1,"(3A,6A,7B)",16,1
"(3A,6A,7A)",16,1,"(3A,4C,6A)",28,1
"(3A,4A,8A)",10,1,"(3A,4A,7B)",2,1
"(3A,4A,7A)",2,1,"(3A,3A,21B)",1,1
"(3A,3A,21A)",2,1,"(3A,3A,23B)",1,1
"(3A,3A,23A)",2,1,"(3A,3A,12B)",4,1
"(3A,5A,8A)",28,1,"(3A,5A,7B)",4,1
"(3A,5A,7A)",4,1,"(3A,4C,5A)",7,1
"(3A,3B,8A)",14,1,"(3A,3B,7B)",5,1
"(3A,3B,7A)",5,1,"(3A,3B,4B)",3,1
"(2B,4B,14B)",8,1,"(2B,4B,14A)",8,1
"(2B,4B,11A)",11,1,"(2B,4B,15B)",8,1
"(2B,4B,15A)",8,1,"(2B,6A,8A)",42,1
"(2B,6A,7B)",11,1,"(2B,6A,7A)",11,1
"(2B,3A,21B)",1,1,"(2B,3A,21A)",1,1
"(2B,3A,23B)",1,1,"(2B,3A,23A)",1,1
"(2B,5A,8A)",14,1,"(2B,5A,7B)",5,1
"(2B,5A,7A)",5,1,"(2A,6A,12B)",19,1
"(2A,5A,23B)",5,1,"(2A,5A,23A)",1,1
"(2A,2A,4B,6A)",1,5730,"(2A,2A,4A,4B)",1,464
"(2A,2A,4B,5A)",1,1970,"(2A,2A,3B,4B)",1,969
"(2A,2A,2A,2A,4B)",1,72000,"(2A,2A,2A,21B)",1,63
"(2A,2A,2A,21A)",1,63,"(2A,2A,2A,23B)",1,46
"(2A,2A,2A,23A)",1,46,"(2A,2A,2A,12B)",1,144
"(2A,2A,2A,8A)",1,1128,"(2A,2A,3A,7B)",1,224
"(2A,2A,3A,7A)",1,224,"(2A,2A,3A,4B)",1,684
"(2A,2A,2B,8A)",1,416,"(2A,2A,2B,7B)",1,98
"(2A,2A,2B,7A)",1,98,"(2A,3A,3A,4B)",1,1776
"(2A,2B,3A,4B)",1,684,,,
Rami f icationType,N.Orbit,L.O,Rami f icationType,N.Orbit,L.O
"(2A,3A,7A)",7,1,,,
Rami f icationType,N.Orbit,L.O,Rami f icationType,N.Orbit,L.O
"(2B,3B,7A)",10,1,,,
Rami f icationType,N.Orbit,L.O,Rami f icationType,N.Orbit,L.O
"(2B,3B,7A)",10,1,,,
Rami f icationType,N.Orbit,L.O,Rami f icationType,N.Orbit,L.O
"(2C,3B,14A)",3,1,"(2C,3B,12C)",2,1
Rami f icationType,N.Orbit,L.O,Rami f icationType,N.Orbit,L.O
"(2B,3C,7A)",12,1,,,
Rami f icationType,N.Orbit,L.O,Rami f icationType,N.Orbit,L.O
"(2C,4F,10A)",1,1,"(2D, 5C, 6C )",1,1
"(2D,4F,6B)",10,1,"(2D, 4F, 5C )",9,1
Rami f icationType,N.Orbit,L.O,Rami f icationType,N.Orbit,L.O
"(3A,6A,6A)",12,1,"(3A,6A,8A)",9,1
"(3A,6A,8B)",9,1,"(3A,8A,8A)",3,1
"(3A,8B,8B)",3,1,"(3A,5A,6A)",7,1
"(3A,5A,8A)",9,1,"(3A,5A,8B)",9,1
"(4A,6A,6A)",30,1,"(3A,4A,11A)",4,1
"(3A,4A,11B)",4,1,"(4A,6A,8A)",18,1
"(4A,6A,8B)",18,1,"(4A,8B,8B)",10,1
"(4A,8A,8A)",10,1,"(4A,8A,8B)",10,1
"(3A,8A,8B)",7,1,"(4A,4A,11A)",7,1
"(4A,4A,11B)",7,1,"(4A,5A,6A)",31,1
"(4A,5A,8A)",17,1,"(4A,5A,8B)",17,1
"(4A,5A,5A)",28,1,"(2A,6A,11A)",3,1
"(2A,6A,11B)",3,1,"(2A,3A,3A,3A)",1,63
"(2A,8A,11A)",2,1,"(2A,8A,11B)",2,1
"(2A,8B,11A)",2,1,"(2A,8B,11B)",2,1
"(2A,3A,3A,4A)",1,368,"(2A,3A,4A,4A)",1,708
"(2A,4A,4A,4A)",1,1328,"(2A,2A,3A,6A)",1,156
"(2A,2A,3A,8A)",1,160,"(2A,2A,3A,8B)",1,160
"(2A,2A,3A,5A)",1,100,"(2A,2A,4A,6A)",1,472
"(2A,2A,4A,8A)",1,304,"(2A,2A,4A,8B)",1,304
"(2A,2A,4A,5A)",1,500,"(2A,2A,2A,11A)",1,33
"(2A,2A,2A,11B)",1,33,"(2A,2A,2A,2A,3A)",1,2376
"(2A,2A,2A,2A,4A)",1,8832,"(2A,5A,11A)",1,1
"(2A,5A,11B)",1,1,,,
Rami f icationType,N.Orbit,L.O,Rami f icationType,N.Orbit,L.O
"(5A,5A,5A)",24,1,"(5A,5A,6A)",38,1
"(5A,6A,6A)",34,1,"(6A,6A,6A)",36,1
"(3A,5A,11A)",5,1,"(3A,5A,11B)",5,1
"(3A,5A,8A)",9,1,"(3A,5A,8B)",9,1
"(3A,6A,11A)",4,1,"(3A,6A,11B)",4,1
"(3A,4A,11A)",4,1,"(3A,4A,11B)",4,1
"(3A,6A,8A)",9,1,"(3A,6A,8B)",9,1
"(3A,4A,8A)",3,1,"(3A,4A,8B)",3,1
"(4A,5A,5A)",28,1,"(4A,5A,6A)",31,1
"(4A,6A,6A)",30,1,"(4A,4A,5A)",6,1
"(4A,4A,6A)",12,1,"(2A,11A,11A)",1,1
"(2A,11B,11B)",1,1,"(2A,8A,11A)",2,1
"(2A,8A,11B)",2,1,"(2A,8B,11A)",2,1
"(2A,8B,11B)",2,1,"(2A,8B,8B)",2,1
"(2A,8A,8A)",2,1,"(3A,3A,3A,3A)",1,288
"(2A,3A,3A,5A)",1,385,"(2A,3A,3A,6A)",1,444
"(2A,3A,3A,4A)",1,368,"(2A,2A,5A,6A)",1,680
"(2A,2A,5A,5A)",1,570,"(2A,2A,6A,6A)",1,708
"(2A,2A,3A,11A)",1,77,"(2A,2A,3A,11B)",1,77
"(2A,2A,3A,8A)",1,160,"(2A,2A,3A,8B)",1,160
"(2A,2A,4A,5A)",1,500,"(2A,2A,4A,6A)",1,472
"(2A,2A,4A,4A)",1,"168","(2A,2A,2A,3A,3A)",1,8280
"(2A,2A,2A,2A,5A)",1,12000,"(2A,2A,2A,2A,6A)",1,12528
"(2A,2A,2A,2A,4A)",1,8832,"(2A,2A,2A,2A,2A,2A)",1,229680
Rami f icationType,N.Orbit,L.O,Rami f icationType,N.Orbit,L.O
"(8B,8B,8B)",68,1,"(4B,8B,11B)",11,1
"(4B,8B,11A)",11,1,"(4B,8A,8B)",36,1
"(4B,6A,8B)",18,1,"(4B,8B,10A)",20,1
"(4B,6B,11B)",27,1,"(4B,6B,11A)",27,1
"(4B,6B,8A)",58,1,"(4B,6A,6B)",39,1
"(4B,6B,10A)",39,1,"(3B,4B,11B)",8,1
"(3B,4B,11A)",8,1,"(3B,4B,8A)",13,1
"(3B,4B,10A)",10,1,"(4A,4B,11B)",8,1
"(4A,4B,11A)",8,1,"(4A,4B,8A)",6,1
"(4A,4B,6A)",10,1,"(3B,4B,6A)",7,1
"(4A,4B,10A)",6,1,"(4B,5A,11B)",10,1
"(4B,5A,11A)",10,1,"(4B,5A,8A)",24,1
"(4B,5A,6A)",19,1,"(4B,5A,10A)",22,1
"(6B,8B,8B)",124,1,"(6B,6B,8B)",256,1
"(6B,6B,6B)",332,1,"(3A,8B,11B)",10,1
"(3A,8B,11A)",10,1,"(3A,8A,8B)",16,1
"(3A,6A,8B)",18,1,"(3A,8B,10A)",18,1
"(3A,6B,11B)",16,1,"(3A,6B,11A)",16,1
"(3A,6B,8A)",16,1,"(3A,6A,6B)",24,1
"(3A,6B,10A)",28,1,"(3A,3B,11B)",5,1
"(3A,3B,11A)",5,1,"(3A,3B,8A)",6,1
"(3A,3B,6A)",4,1,"(3A,3B,10A)",8,1
"(3A,4A,11B)",1,1,"(3A,4A,11A)",1,1
"(3A,4A,6A)",3,1,"(3A,4A,10A)",3,1
"(3A,5A,11B)",4,1,"(3A,5A,11A)",4,1
"(3A,5A,8A)",4,1,"(3A,5A,6A)",6,1
"(3A,5A,10A)",16,1,"(3B,8B,8B)",32,1
"(3B,6B,8B)",50,1,"(3B,6B,6B)",72,1
"(3B,3B,8B)",8,1,"(3B,3B,6B)",8,1
"(4A,8B,8B)",44,1,"(4A,6B,8B)",58,1
"(4A,6B,6B)",38,1,"(3B,4A,8A)",13,1
"(3B,4A,6B)",10,1,"(4A,4A,8B)",4,1
"(2B,11B,11B)",2,1,"(2B,11A,11B)",3,1
"(2B,11A,11A)",2,1,"(2B,8A,11B)",2,1
"(2B,8A,11A)",2,1,"(2B,6A,11B)",4,1
"(2B,6A,11A)",4,1,"(2B,6A,8A)",4,1
"(2B,6A,6A)",4,1,"(2B,10A,11B)",4,1
"(2B,10A,11A)",4,1,"(2B,8A,10A)",2,1
"(2B,6A,10A)",6,1,"(2B,10A,10A)",4,1
"(5A,8B,8B)",66,1,"(5A,6B,8B)",132,1
"(5A,6B,6B)",160,1,"(3B,5A,8B)",32,1
"(3B,5A,6B)",44,1,"(3B,3B,5A)",2,1
"(4A,5A,8B)",24,1,"(4A,5A,6B)",14,1
"(3B,4A,5A)",7,1,"(5A,5A,8B)",48,1
"(5A,5A,6B)",64,1,"(3B,5A,5A)",12,1
"(4A,5A,5A)",3,1,"(5A,5A,5A)",6,1
"(2A,8B,11B)",4,1,"(2A,8B,11A)",4,1
"(2A,8A,8B)",8,1,"(2A,6A,8B)",4,1
"(2A,8B,10A)",5,1,"(2A,6B,11B)",6,1
"(2A,6B,11A)",6,1,"(2A,6B,8A)",6,1
"(2A,6A,6B)",6,1,"(2A,6B,10A)",6,1
