Rami f icationType,N.Orbit,L.O,Rami f icationType,N.Orbit,L.O
Rami f icationType,N.Orbit,L.O,Rami f icationType,N.Orbit,L.O
"(4D,4D,11A)",25,1,"(4D,5A,8B)",76,1
"(4B,4D,10A)",34,1,"(4B,4D,14B)",15,1
"(4B,4D,14A)",15,1,"(4B,4D,12A)",20,1
"(4C,4D,8A)",21,1,"(4C,4D,7A)",19,1
"(4C,4D,7B)",19,1,"(4A,4D,10A)",62,1
"(4A,4D,14B)",40,1,"(4A,4D,14A)",40,1
"(4A,4D,12A)",54,1,"(4D,6A,8B)",56,1
"(4D,6B,8A)",92,1,"(4D,6B,7B)",97,1
"(4D,6B,7A)",97,1,"(2C,8A,8B)",11,1
"(2C,7B,8B)",15,1,"(2C,7A,8B)",15,1
"(2C,5A,10A)",17,1,"(2C,5A,14B)",20,1
"(2C,5A,14A)",20,1,"(2C,5A,12A)",19,1
"(2C,6A,10A)",9,1,"(2C,6A,14A)",7,1
"(2C,6A,14B)",7,1,"(2C,6A,12A)",8,1
"(2C,6B,11A)",23,1,"(4B,4B,8B)",16,1
"(4B,6B,8B)",68,1,"(4C,4C,5A)",12,1
"(4C,4C,6A)",4,1,"(4A,4C,8B)",38,1
"(4A,6B,8B)",187,1,"(2A,10A,10A)",22,1
"(2A,12A,14B)",12,1,"(2A,12A,14A)",12,1
"(2A,12A,12A)",18,1,"(4B,5A,6B)",132,1
"(4B,6A,6B)",58,1,"(5A,6B,6B)",621,1
"(6A,6B,6B)",406,1,"(3A,8B,8B)",41,1
"(3A,4C,10A)",41,1,"(3A,4C,14A)",16,1
"(3A,4C,14B)",16,1,"(3A,4C,12A)",20,1
"(3A,6B,10A)",164,1,"(3A,6B,14A)",87,1
"(3A,6B,14B)",87,1,"(3A,6B,12A)",116,1
"(2B,10A,11A)",8,1,"(2B,11A,14A)",4,1
"(2B,11A,14B)",4,1,"(2B,11A,12A)",7,1
"(2A,10A,14A)",16,1,"(2B,10A,14B)",16,1
"(2A,14A,14A)",10,1,"(2B,14A,14B)",7,1
"(2A,14B,14B)",10,1,"(2B,10A,12A)",18,1
"(2A,2C,4B,4D)",1,492,"(2A,2C,4A,4D)",1,1194
"(2A,2C,2C,5A)",1,340,"(2A,2C,2C,6A)",1,156
"(2A,2C,3A,4C)",1,348,"(2A,2C,3A,6B)",1,2794
"(2A,2A,4D,8B)",1,1376,"(2A,2A,2C,10A)",1,320
"(2A,2A,2C,14B)",1,266,"(2A,2A,2C,14A)",1,266
"(2A,2A,2C,12A)",1,288,"(2A,2A,4C,4C)",2,"132,76"
"(2A,2A,6B,6B)",3,"5398, 4350, 312","(2A,3A,4D,4D)",1,3026
"(2B,2C,4C,4D)",1,122,"(2B,2C,4D,6B)",1,744
"(2B,2C,2C,8B)",1,72,"(2B,2C,4B,4B)",1,136
"(2B,2C,4A,4B)",1,292,"(2B,2C,4A,4A)",1,814
"(2B,2C,3A,5A)",1,965,"(2B,2C,3A,6A)",1,448
"(2A,2B,4D,8A)",1,412,"(2A,2B,4D,7B)",1,476
"(2A,2B,4D,7A)",1,476,"(2A,2B,2C,11A)",1,121
"(2A,2B,4B,8B)",1,328,"(2A,2B,4C,5A)",2,"305, 315"
"(2A,2B,4C,6A)",1,193,"(2A,2B,4A,8A)",1,952
"(2A,2B,5A,6B)",2,"1625, 1500","(2A,2B,3A,10A)",2,"375, 375"
"(2A,2B,3A,14B)",2,"196, 231","(2A,2B,3A,14A)",2,"196, 231"
"(2A,2B,3A,12A)",2,"318, 210","(2A,3A,3A,4C)",1,296
"(2B,3A,3A,6B)",3,"1552, 886, 1968","(2B,2B,4D,10A)",1,210
"(2B,2B,4D,14A)",1,98,"(2B,2B,4D,14B)",1,98
"(2B,2B,4D,12A)",1,120,"(2B,2B,5A,5A)",3,"480,360,90"
"(2B,2B,4B,7B)",2,"91,42","(2B,2B,4B,7A)",2,"91,42"
"(2B,2B,4C,8B)",1,104,"(2B,2B,4A,8A)",1,264
"(2B,2B,4A,7B)",1,350,"(2B,2B,4A,7A)",1,350
"(2B,2B,5A,6A)",2,"315, 310","(2B,2B,6A,6A)",3,"60, 160, 120"
"(2A,2B,2B,2C,4D)",1,3400,"(2A,2A,2B,2B,5A)",2,"8075, 7650"
"(2A,2A,2B,2B,6A)",2,"5172, 3756","(2A,2B,2B,3A,3A)",2,"12594, 10188"
"(2B,2B,6B,8B)",2,"912, 288","(2B,2B,3A,11A)",2,"55, 44, 44, 44"
"(2B,2B,2B,2C,4B)",1,912,"(2B,2B,2B,2C,4A)",1,2160
"(2A,2B,2B,2B,8B)",1,2400,"(2B,2B,2B,3A,4D)",1,4536
"(2B,2B,2B,2B,8A)",1,768,"(2B,2B,4B,8A)",1,120
"(2B,2B,2B,2B,7B)",2,"588, 294","(2B,2B,2B,2B,2B,2C)",1,6144
"(2B,2B,2B,2B,7A)",2,"588, 294","(2B,3A,4B,4D)",1,630
"(2B,3A,4A,4D)",1,2270,"(2C,2C,2C,4D)",1,90
"(2C,2C,3A,3A)",1,534,"(2A,2A,4C,6C)",2,"704, 1104"
"(2A,2A,2B,2C,3A)",1,13356,"(2B,4D,4D,4D)",1,576
"(2A,2A,2A,2B,4C)",2,"4920, 3384","(2A,2A,2A,2B,6B)",2,"27954, 22194"
"(2A,2A,2A,2A,2B,2B)",2,"137480, 113040","(2A,2A,2A,2C,2C)",1,5172
Rami f icationType,N.Orbit,L.O,Rami f icationType,N.Orbit,L.O
"(2C,4C,7A)",2,1,"(2C,4C,7B)",2,1
"(2C,4A,12A)",3,1,"(2C,4A,10)",4,1
"(2B,6B,12A)",4,1,"(2B,6B,10A)",1,1
"(2B,6A,11A)",3,1,"(2B,6B,12A)",2,1
"(2B,6B,10A)",2,1,"(2A,4D,11A)",1,1
"(2A,4D,11B)",1,1,"(2A,2C,2C,6B)",1,48
"(2A,2B,2C,5A)",1,30,"(2A,2C,2V,4A)",1,50
Rami f icationType,N.Orbit,L.O,Rami f icationType,N.Orbit,L.O
"(5A,5A,5A)",972,1,"(4A,5A,8A)",1484,1
"(5A,5A,5A)",972,1,"(4A,5A,8A)",1484,1
"(4A,5A,7B)",622,1,"(4A,5A,7A)",622,1
"(4A,4A,15B)",480,1,"(4A,4A,15A)",480,1
"(4A,4A,11B)",564,1,"(4A,4A,11A)",564,1
"(4A,4A,14B)",464,1,"(4A,4A,14A)",464,1
"(4A,6A,8A)",564,1,"(4A,6A,7B)",1157,1
"(4A,6A,7A)",1157,1,"(5A,5A,6A)",2178,1
"(5A,6A,6A)",3416,1,"(6A,6A,6A)",4860,1
"(3A,8A,8A)",568,1,"(3A,5A,15B)",159,1
"(3A,5A,15A)",159,1,"(3A,5A,11B)",148,1
"(3A,5A,11A)",148,1,"(3A,5A,14B)",150,1
"(3A,5A,14A)",150,1,"(3A,4A,23B)",50,1
"(3A,4A,23A)",50,1,"(3A,7B,8A)",272,1
"(3A,7B,7B)",98,1,"(3A,7A,8A)",272,1
"(3A,6A,15B)",269,1,"(3A,6A,15A)",269,1
"(3A,6A,11B)",311,1,"(3A,6A,11A)",311,1
"(3A,6A,14B)",265,1,"(3A,6A,14A)",265,1
"(2A,8A,23B)",16,1,"(2A,8A,23A)",16,1
"(2A,15B,15B)",16,1,"(2A,15A,15B)",24,1
"(2A,15A,15A)",16,1,"(2A,11B,15B)",23,1
"(2A,11B,15A)",23,1,"(2A,11B,11B)",18,1
"(2A,11A,15B)",23,1,"(2A,11A,15A)",23,1
"(2A,11A,11B)",22,1,"(2A,11A,11A)",18,1
"(2A,14B,15B)",22,1,"(2A,14B,15A)",22,1
"(2A,11B,14B)",20,1,"(2A,11A,14B)",20,1
"(2A,14B,14B)",24,1,"(2A,14A,15B)",22,1
"(2A,14A,15A)",22,1,"(2A,11B,14A)",20,1
"(2A,11A,14A)",20,1,"(2A,11A,14B)",17,1
"(2A,14A,14A)",24,1,"(2A,7B,23B)",8,1
"(2A,7B,23A)",8,1,"(2A,7A,23B)",8,1
"(2A,7A,23A)",8,1,"(2A,3A,4A,4A)",1,103728
"(2A,3A,3A,5A)",1,34170,"(2A,3A,3A,6A)",1,54918
"(2A,2A,5A,5A)",1,30400,"(2A,2A,4A,8A)",1,34944
"(2A,2A,4A,7B)",1,15848,"(2A,2A,4A,7A)",1,15848
"(2A,2A,5A,6A)",1,48180,"(2A,2A,5A,6A)",1,72528
"(2A,2A,3A,15B)",1,3335,"(2A,2A,3A,15A)",1,3335
"(2A,2A,3A,11B)",1,4070,"(2A,2A,3A,11A)",1,4070
"(2A,2A,3A,14B)",1,3206,"(2A,2A,3A,14A)",1,3206
"(2A,2A,2A,3A,3A)",1,850392,"(2A,2A,2A,2A,5A)",1,732000
"(2A,2A,2A,2A,6A)",1,1050336,"(2A,2A,2A,2A,2A,2A)",1,16463280
"(3A,3A,3A,3A)",2,"28980, 8316",,,
Rami f icationType,N.Orbit,L.O,Rami f icationType,N.Orbit,L.O
"(4B,8A,8A)",3440,1,"(4B,4B,21B)",388,1
"(4B,4B,21A)",388,1,"(4B,4B,23B)",245,1
"(4B,4B,23A)",245,1,"(4B,4B,12B)",792,1
"(4B,6A,12A)",4734,1,"(4B,6A,14B)",2962,1
"(4B,6A,14A)",2962,1,"(4B,6A,11A)",3303,1
"(4B,6A,10A)",2642,1,"(4B,6A,15B)",2960,1
"(4B,6A,15A)",2960,1,"(4B,6A,6B)",2697,1
"(4A,4B,12A)",316,1,"(4A,4B,14B)",242,1
"(4A,4B,14A)",242,1,"(4A,4B,11A)",278,1
"(4A,4B,10A)",185,1,"(4A,4B,15B)",268,1
"(4A,4B,15A)",268,1,"(4A,4B,6B)",204,1
"(4B,7B,8A)",988,1,"(4B,7B,7B)",253,1
"(4B,7A,7A)",212,1,"(4B,4C,5A)",1406,1
"(4B,5A,14B)",820,1,"(4B,5A,14A)",820,1
"(4B,5A,11A)",810,1,"(4B,5A,10A)",823,1
"(4B,5A,15B)",806,1,"(4B,5A,15A)",806,1
"(4B,5A,6B)",786,1,"(4B,4C,8A)",958,1
"(4B,4C,7B)",300,1,"(4B,4C,7A)",300,1
"(4B,4C,4C)",172,1,"(3B,4B,12A)",328,1
"(3B,4B,14B)",264,1,"(3B,4B,14A)",264,1
"(3B,4B,11A)",322,1,"(3B,4B,10A)",199,1
"(3B,4B,15B)",234,1,"(3B,4B,15A)",234,1
"(6A,6A,8A)",15392,1,"(6A,6A,7B)",4825,1
"(6A,6A,7A)",4825,1,"(4C,6A,6A)",3896,1
"(4A,6A,8A)",1286,1,"(4A,6A,7B)",414,1
"(4A,6A,7A)",414,1,"(4A,4C,6A)",202,1
"(4A,4A,8A)",36,1,"(4A,4A,7B)",15,1
"(4A,4A,7A)",15,1,"(4A,4A,4C)",12,1
"(2A,12A,21B)",57,1,"(2A,12A,21A)",57,1
"(2A,12A,23B)",33,1,"(2A,12A,23A)",33,1
"(2A,12A,12B)",83,1,"(2A,14B,21B)",28,1
"(2A,14B,21A)",39,1,"(2A,14B,23B)",23,1
"(2A,14B,23A)",23,1,"(2A,12B,14B)",61,1
"(2A,14A,21B)",39,1,"(2A,14A,21A)",28,1
"(2A,14A,23B)",23,1,"(2A,14A,23A)",23,1
"(2A,12B,14A)",61,1,"(2A,11A,21B)",36,1
"(2A,11A,21A)",36,1,"(2A,11A,23B)",22,1
"(2A,11A,23A)",22,1,"(2A,11A,12B)",52,1
"(2A,10A,21B)",34,1,"(2A,10A,21A)",34,1
"(2A,10A,23B)",21,1,"(2A,10A,23A)",21,1
"(2A,10A,12B)",49,1,"(2A,15B,21B)",33,1
"(2A,15B,21A)",33,1,"(2A,15B,23B)",22,1
"(2A,15B,23A)",22,1,"(2A,12B,15B)",60,1
"(2A,15A,21B)",33,1,"(2A,15A,21A)",33,1
"(2A,15A,23B)",22,1,"(2A,15A,23A)",22,1
"(2A,12B,15A)",60,1,"(2A,6A,21B)",23,1
"(2A,6B,21A)",23,1,"(2A,6B,23B)",19,1
"(2A,6B,23A)",19,1,"(2A,6B,12B)",40,1
"(3A,8A,12A)",740,1,"(3A,8A,14B)",448,1
"(3A,8A,14A)",448,1,"(3A,8A,11A)",436,1
"(3A,8A,10A)",458,1,"(3A,8A,15B)",444,1
"(3A,8A,15A)",444,1,"(3A,8A,6B)",414,1
"(3A,6A,21B)",294,1,"(3A,6A,21A)",294,1
"(3A,6A,23B)",193,1,"(3A,6A,23A)",193,1
"(3A,6A,12B)",540,1,"(3A,4A,21B)",30,1
"(3A,4A,21A)",30,1,"(3A,4A,23B)",22,1
"(3A,4A,23A)",22,1,"(3A,4A,12B)",45,1
"(3A,7B,12A)",228,1,"(3A,7B,14B)",130,1
"(3A,7B,14A)",122,1,"(3A,7B,11A)",112,1
"(3A,7B,10A)",142,1,"(3A,7B,15B)",115,1
"(3A,7B,15A)",117,1,"(3A,6B,7B)",36,1
"(3A,7A,12A)",228,1,"(3A,7A,14B)",122,1
"(3A,7A,14A)",130,1,"(3A,7A,11A)",112,1
"(3A,7A,10A)",142,1,"(3A,7A,15B)",117,1
"(3A,7A,15A)",117,1,"(3A,6B,7A)",136,1
"(3A,5A,21B)",78,1,"(3A,5A,21A)",78,1
"(3A,5A,23B)",42,1,"(3A,5A,23A)",42,1
"(3A,5A,12B)",144,1,"(3A,4C,12A)",192,1
"(3A,4C,14B)",146,1,"(3A,4C,14A)",146,1
"(3A,4C,11A)",160,1,"(3A,4C,10A)",99,1
"(3A,4C,15B)",144,1,"(3A,4C,15A)",144,1
"(3A,4C,6B)",90,1,"(3A,3B,21B)",18,1
"(3A,3B,21A)",18,1,"(3A,3B,23B)",20,1
"(3A,3B,23A)",20,1,"(3A,3B,12B)",36,1
"(5A,6A,8A)",4756,1,"(5A,6A,7B)",1343,1
"(5A,6A,7A)",1343,1,"(5A,4C,6A)",1323,1
"(4A,5A,8A)",481,1,"(4A,5A,7B)",151,1
"(4A,5A,7A)",151,1,"(4A,4C,5A)",80,1
"(5A,5A,8A)",1152,1,"(5A,5A,7B)",277,1
"(5A,5A,7A)",277,1,"(3B,4B,6B)",117,1
"(4C,5A,5A)",444,1,"(3B,6A,8A)",1070,1
"(3B,6A,7B)",414,1,"(3B,6A,7A)",414,1
"(3B,4C,6A)",191,1,"(3B,4A,8A)",102,1
"(3B,4A,7B)",41,1,"(3B,4A,7A)",41,1
"(3B,5A,8A)",404,1,"(3B,5A,7B)",142,1
"(3B,5A,7A)",142,1,"(3B,4C,5A)",96,1
"(3B,3B,8A)",32,1,"(3B,3B,7B)",12,1
"(3B,3B,7A)",12,1,"(3B,8A,12A)",114,1
"(2B,8A,14B)",103,1,"(2B,8A,14A)",103,1
"(2B,8A,11A)",121,1,"(2B,8A,10A)",64,1
"(2B,8A,15B)",119,1,"(2B,8A,15A)",119,1
"(2B,6B,8A)",80,1,"(2B,6A,21B)",66,1
"(2B,6A,21A)",66,1,"(2B,6A,23B)",50,1
"(2B,6A,23A)",50,1,"(2B,6A,12B)",99,1
"(2B,4A,21B)",4,1,"(2B,4A,21A)",4,1
"(2B,4A,23B)",5,1,"(2B,4A,23A)",5,1
"(2B,4A,12A)",48,1,"(2B,7B,14B)",22,1
"(2B,7B,14A)",54,1,"(2B,7B,11A)",54,1
"(2B,7B,10A)",22,1,"(2B,7B,15B)",47,1
"(2B,7B,15A)",47,1,"(2B,6B,7B)",33,1
"(2B,7A,12A)",48,1,"(2B,7A,14B)",54,1
"(2B,7A,14A)",22,1,"(2B,7A,11A)",54,1
"(2B,7A,10A)",22,1,"(2B,7A,15B)",47,1
"(2B,7A,15A)",47,1,"(2B,6B,7A)",33,1
"(2B,5A,21B)",24,1,"(2B,5A,21A)",24,1
"(2B,5A,23B)",19,1,"(2B,5A,23A)",19,1
"(2B,5A,12B)",36,1,"(2B,4C,12A)",16,1
"(2B,4C,14B)",23,1,"(2B,4C,14A)",23,1
"(2B,4C,11A)",24,1,"(2B,4C,10A)",6,1
"(2B,4C,15B)",20,1,"(2B,4C,15A)",20,1
"(2B,3B,21B)",1,1,"(2B,3B,21A)",1,1
"(2A,4B,4B,4B)",1,526208,"(2A,2A,4B,12A)",1,49424
"(2A,2A,4B,14B)",1,33194,"(2A,2A,4B,14A)",1,33194
"(2A,2A,4B,11A)",1,39149,"(2A,2A,4B,10A)",1,28660
"(2A,2A,4B,15B)",1,32855,"(2A,2A,4B,15A)",1,32855
"(2A,2A,4B,6B)",1,28341,"(2A,2A,6A,8A)",1,181688
"(2A,2A,6A,7B)",1,55727,"(2A,2A,6A,7A)",1,55727
"(2A,2A,4C,6A)",1,43352,"(2A,2A,4A,8A)",1,15112
"(2A,2A,4A,7B)",1,4424,"(2A,2A,4A,7A)",1,4424
"(2A,2A,4A,4C)",1,2384,"(2A,2A,2A,2A,8A)",1,2173440
"(2A,2A,2A,2A,7B)",1,675514,"(2A,2A,2A,2A,7A)",1,675514
"(2A,2A,2A,2A,4C)",1,468928,"(2A,2A,2A,3A,4B)",1,1
"(2A,2A,2A,2B,4B)",1,1002768,"(2A,2A,3A,21B)",1,2947
"(2A,2A,3A,21A)",1,2947,"(2A,2A,3A,23B)",1,2185
"(2A,2A,3A,23A)",1,2185,"(2A,2A,3A,12B)",1,3876
"(2A,2A,5A,7B)",1,16555,"(2A,2A,5A,7A)",1,16555
"(2A,2A,5A,4C)",1,13860,"(2A,2A,3B,8A)",1,12528
"(2A,2A,3B,7B)",1,4669,"(2A,2A,3B,7A)",1,4669
"(2A,2A,3B,4C)",1,2656,"(2A,2A,2B,21B)",1,805
"(2A,2A,2B,21A)",1,805,"(2A,2A,2B,23B)",1,575
"(2A,2A,2B,23A)",1,575,"(2A,2A,2B,12B)",1,1224
"(2A,3A,4B,6A)",1,3876,"(2A,3A,4A,4B)",1,29134
"(2A,3A,4B,5A)",1,10852,"(2A,3A,3B,4B)",1,28658
"(2A,3A,3A,8A)",1,57840,"(2A,3A,3A,7B)",1,17038
"(2A,3A,3A,7A)",1,17038,"(2A,3A,3A,4C)",1,14080
"(2A,2B,4B,6A)",1,86610,"(2A,2B,4A,4B)",1,5112
"(2A,2B,4B,5A)",1,31000,"(2A,2B,3B,4B)",1,4941
"(2A,2B,3A,8A)",1,15072,"(2A,2B,3A,7B)",1,5201
"(2A,2B,3A,7A)",1,5201,"(2A,2B,3A,4C)",1,2640
"(2A,2B,2B,8A)",1,2080,"(2A,2B,2B,7B)",1,763
"(2A,2B,2B,7A)",1,763,"(2A,2B,2B,4C)",1,208
"(3A,3A,3A,4A)",1,118236,"(2B,3A,3A,4B)",1,34464
"(2B,2B,3A,4B)",1,4680,"(2B,2B,2B,4B)",1,624
"(2A,2A,5A,8A)",1,57000,"(2A,2A,4C,5A)",1,13860
Rami f icationType,N.Orbit,L.O,Rami f icationType,N.Orbit,L.O
"(2B,3B,10A)",6,1,"(2B,3B,10B)",6,1
"(2A,5C,6B)",1,1,"(2A,5D,6B)",1,1
Rami f icationType,N.Orbit,L.O,Rami f icationType,N.Orbit,L.O
"(2C,6C,5D)",4,1,"(2C,4C,7A)",9,1
"(2A,2C,2C,4A)",1,28,"(2A,4C,12C)",2,1
Rami f icationType,N.Orbit,L.O,Rami f icationType,N.Orbit,L.O
"(2B,4C,20A)",3,1,"(2B,4C,20B)",3,1
"(2B,4C,7A)",18,1,"(2B,6B,6B)",20,1
"(2B,5C,6B)",22,1,"(2B,5C,5C)",18,1
"(2B,3A,15A)",2,1,,,
Rami f icationType,N.Orbit,L.O,Rami f icationType,N.Orbit,L.O
"(2C,6E,10A)",1,1,"(2C,4F,15A)",1,1
"(2D,6B,6E)",8,1,"(2D,3A,20C)",1,1
"(2D,5C,6E)",6,1,"(2D,4D,11B)",1,1
"(2D,4F,6A)",5,1,"(2D,4C,12B)",3,1
"(2D,4C,10C)",6,1,"(2D,4C,10D)",22,1
"(2A,4E,20E)",3,1,"(2A,4E,20D)",3,1
"(2A,6C,10C)",1,1,"(2A,2D,2D,4C)",1,268
"(2D,4F,12B)",6,1,"(2A,4F,10C)",2,1
"(2A,4F,10D)",14,1,"(2A,2A,2D,6C)",1,12
"(2A,2A,2D,4F)",1,160,,,